user_id,skill_id,question_id,answer_value,clip_file
user_2YHilZGojkikFERnY459iRn9PuH,1,3,No,1peLgEhZfC0P07PSEbu4D.webm
user_2YHilZGojkikFERnY459iRn9PuH,1,2,No,ITCOykfQsPsV-RZBZY2f3.webm
user_2YHilZGojkikFERnY459iRn9PuH,1,6,Si,QSCK0IjRY_pg6JfkuF-1T.webm
user_2YHilZGojkikFERnY459iRn9PuH,1,1,Si,KD43IWooY0GkZG6JRlGbv.webm
user_2YHilZGojkikFERnY459iRn9PuH,1,5,No,rDuBWz7w9y87EQOYCdZ3O.webm
user_2YHilZGojkikFERnY459iRn9PuH,1,4,No,-Hh3JTEM_pYZWaf5rKHUf.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,8,Si,FF281GSSm1tE92BzXiYL4.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,9,Si,MlWX6IrgRzypTr0WxLeEQ.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,11,No,i4QVE8QPctqQqh6rVgCHO.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,10,No,v2xDUeuEt-ZyCB4oZJ5XZ.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,12,Si,Vl7rClYgayb0xBcKALZ4J.webm
user_2YHilZGojkikFERnY459iRn9PuH,2,7,Si,Na3eck9F732ou_3EC9-4I.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,14,Si,Exu9L-qV9jPo-44v_ZCSu.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,15,Si,TPNGuHJaFLXhFbbLAgEce.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,13,Si,96Teagn0qwDmi1GYxqbs7.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,18,No,PJZ43ZYIqSeSng4IMz58e.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,16,Si,0yWgGnezN4uO7m1ZRFHXk.webm
user_2YHilZGojkikFERnY459iRn9PuH,3,17,Si,LoRg5GLMdMsn463nKIBm_.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,3,No,q7s8-bXDplGFL1LqZr8bp.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,4,No,_we4g80O0DKEyWFDisvip.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,2,No,wAxOf0_-tMibZrDRZIY0e.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,6,No,6gk8YeNxOn_Uo-fM2z99_.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,5,Si,nkLJXbaXb4AkzlsJacRcA.webm
user_2YHinVm5sgfrAIez5OAiXTnjO3Q,1,1,No,werDrcPlA8Q4tazVe2yXG.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,19,No,4KQV0Z7iWv6-7PfFEnyjZ.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,20,No,X5fFkFVbXlHHoc3pbhQe3.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,21,Si,byxkkGGG5Tc8Ljcz94Z_V.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,22,Si,wg9xCmuewMlail4ASHJGa.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,24,Si,-t1t6Ed3Px57IQWZZEJPD.webm
user_2YHilZGojkikFERnY459iRn9PuH,4,23,Si,iaqDvnUjGD4UBltl0GkDU.webm
user_2YHilZGojkikFERnY459iRn9PuH,5,30,Si,kYLcPMAtZzOIBmi5135zT.webm
user_2YHilZGojkikFERnY459iRn9PuH,5,26,Si,hHt2i62DFgc51tVkUWVyr.webm
user_2YHilZGojkikFERnY459iRn9PuH,5,27,No,JBXTodMQndceqe5kWnm03.webm
user_2YHilZGojkikFERnY459iRn9PuH,5,28,Si,Z_XQay7PSN6IGADgvOKbu.webm
user_2YHilZGojkikFERnY459iRn9PuH,5,29,Si,KAcVlTjOEKqiEclBwBM9B.webm
